Name,RAS,Height,Weight,40,10,Vert,Broad,Shuttle
Dustin Keller-2007,9.5,74.125,242,4.55,1.62,38,131,4.14
Dustin Keller-2006,9.5,74.125,242,4.55,1.62,38,131,4.14
Joel Filani-2006,7.03,74.125,211,4.55,1.63,32.5,117,
Joel Filani-2005,7.03,74.125,211,4.55,1.63,32.5,117,
Marcus Henry-2007,6.44,75.625,207,4.55,1.59,31.5,126,4.3
Clinton Solomon-2005,3.8,74.75,214,4.55,1.6,33,114,4.48
Clinton Solomon-2004,3.8,74.75,214,4.55,1.6,33,114,4.48
Limas Sweed-2006,7.53,75.875,215,4.55,1.58,35,,
J.R. Russell-2004,8.97,75,206,4.56,1.54,34.5,,
J.R. Russell-2003,8.97,75,206,4.56,1.54,34.5,,
Chris Henry-2004,5.51,76,197,4.56,1.67,36,,
Chris Henry-2003,5.51,76,197,4.56,1.67,36,,
Shawn Nelson-2008,7.99,77,240,4.56,1.66,33,115,4.46
Ryan Moore-2003,4.98,74.25,217,4.56,1.6,32,110,4.35
P.K. Sam-2003,7.7,75.375,210,4.56,1.58,34.5,,
Justin Harper-2007,6.23,75.5,213,4.56,1.54,28.5,120,4.43
Justin Harper-2005,6.23,75.5,213,4.56,1.54,28.5,120,4.43
Brandon Marshall-2005,7.48,76.5,229,4.56,1.6,37,120,
Kenny Britt-2008,7.08,74.875,218,4.56,1.63,37,124,4.47
Kenny Britt-2007,7.08,74.875,218,4.56,1.63,37,124,4.47
Jarett Dillard-2008,4.95,70.25,191,4.57,1.6,42.5,129,4.41
Jarett Dillard-2007,4.95,70.25,191,4.57,1.6,42.5,129,4.41
Jarett Dillard-2006,4.95,70.25,191,4.57,1.6,42.5,129,4.41
Dwayne Bowe-2006,6.16,74.25,221,4.57,1.64,33,125,4.35
Dwayne Bowe-2005,6.16,74.25,221,4.57,1.64,33,125,4.35
Airese Currie-2004,3.93,70.5,186,4.57,1.72,38,125,4.07
Airese Currie-2003,3.93,70.5,186,4.57,1.72,38,125,4.07
Quan Cosby-2008,2.92,68.625,196,4.57,1.6,,,4.47
Quan Cosby-2007,2.92,68.625,196,4.57,1.6,,,4.47
Quan Cosby-2006,2.92,68.625,196,4.57,1.6,,,4.47
Arnaz Battle-2002,6.35,72.625,217,4.57,1.63,35,117,4.06
Mike Williams-2009,8.12,76.625,229,4.57,1.6,36.5,,
Mike Williams-2007,8.12,76.625,229,4.57,1.6,36.5,,
Mike Williams-2003,8.12,76.625,229,4.57,1.6,36.5,,
Mike Williams-2002,8.12,76.625,229,4.57,1.6,36.5,,
Snoop Minnis-2000,5.87,72.75,171,4.57,1.56,37.5,115,4.07
Ronald Bellamy-2002,3.08,72,208,4.58,1.63,30.5,119,4.1
Matt Trannon-2006,6.47,78,216,4.58,1.59,36.5,118,4.34
Matt Trannon-2005,6.47,78,216,4.58,1.59,36.5,118,4.34
Derek Abney-2003,3.72,69.25,179,4.58,1.61,33.5,120,4.08
Derek Abney-2002,3.72,69.25,179,4.58,1.61,33.5,120,4.08
Derek Abney-2001,3.72,69.25,179,4.58,1.61,33.5,120,4.08
Martin Nance-2005,6.91,76.25,213,4.58,1.59,33.5,112,4.09
Martin Nance-2003,6.91,76.25,213,4.58,1.59,33.5,112,4.09
Maurice Stovall-2005,7.96,76.375,217,4.58,1.62,35,122,4.16
Jerricho Cotchery-2003,7.62,72.5,212,4.58,1.59,36,121,3.91
Jerricho Cotchery-2002,7.62,72.5,212,4.58,1.59,36,121,3.91
Jacob Tamme-2007,6.63,75.5,236,4.58,1.56,30,109,4.27
Keenan Howry-2002,1.61,69.625,178,4.58,1.57,31.5,114,4.28
Keenan Howry-2001,1.61,69.625,178,4.58,1.57,31.5,114,4.28
Keenan Howry-2000,1.61,69.625,178,4.58,1.57,31.5,114,4.28
Brian Hartline-2007,6.24,73.625,195,4.58,1.63,34.5,120,4.12
Andrae Thurman-2002,2.82,71.75,192,4.58,1.64,34.5,121,4.33
Lavelle Hawkins-2007,4.46,71,187,4.59,1.58,,117,
Lavelle Hawkins-2006,4.46,71,187,4.59,1.58,,117,
Dallas Baker-2006,9.01,75.125,208,4.59,1.58,36,129,4.19
Dallas Baker-2005,9.01,75.125,208,4.59,1.58,36,129,4.19
Sammie Stroughter-2008,1.4,69.375,189,4.59,1.65,30,110,4.28
Sammie Stroughter-2006,1.4,69.375,189,4.59,1.65,30,110,4.28
Taj Smith-2007,2.9,72.375,187,4.59,1.6,35,119,4.5
Darius Passmore-2008,2.17,72.375,188,4.59,1.71,33.5,,
Darius Passmore-2007,2.17,72.375,188,4.59,1.71,33.5,,
Michael Clayton-2003,6.1,74.75,209,4.59,1.62,32.5,116,4.09
Michael Clayton-2002,6.1,74.75,209,4.59,1.62,32.5,116,4.09
Michael Clayton-2001,6.1,74.75,209,4.59,1.62,32.5,116,4.09
Steve Johnson-2007,6.14,73.875,210,4.59,1.59,32.5,121,4.26
Brian Robiskie-2008,7.64,74.875,209,4.59,1.64,37.5,,4.19
Brian Robiskie-2007,7.64,74.875,209,4.59,1.64,37.5,,4.19
Antonio Bryant-2001,4.63,73.25,188,4.6,1.62,37,120,
Antonio Bryant-2000,4.63,73.25,188,4.6,1.62,37,120,
Tony Scheffler-2005,9.32,77.375,254,4.6,1.64,33.5,115,4.04
Tony Scheffler-2004,9.32,77.375,254,4.6,1.64,33.5,115,4.04
Chansi Stuckey-2006,5.11,70.625,197,4.6,1.61,35,120,4.14
Chansi Stuckey-2005,5.11,70.625,197,4.6,1.61,35,120,4.14
Mario Manningham-2007,3.26,71.75,181,4.6,1.57,32,117,4.27
James Jones-2006,5.83,72.75,207,4.6,1.63,34,119,4.2
Bernard Berrian-2003,4.4,73,183,4.61,1.63,38,128,4.18
Bernard Berrian-2001,4.4,73,183,4.61,1.63,38,128,4.18
Dante Ridgeway-2004,3.18,71.125,212,4.61,1.6,33,117,4.39
Dante Ridgeway-2003,3.18,71.125,212,4.61,1.6,33,117,4.39
Dante Ridgeway-2002,3.18,71.125,212,4.61,1.6,33,117,4.39
Koren Robinson-2000,7.18,73.5,211,4.61,1.6,38.5,123,
Syndric Steptoe-2006,3.89,68.625,194,4.61,1.65,33,,
Mike Hass-2005,5.63,72.625,208,4.61,1.59,32,116,4.15
Mike Hass-2004,5.63,72.625,208,4.61,1.59,32,116,4.15
Mike Hass-2003,5.63,72.625,208,4.61,1.59,32,116,4.15
Fred Gibson-2004,7.87,76,196,4.62,1.57,38.5,126,4.14
Fred Gibson-2002,7.87,76,196,4.62,1.57,38.5,126,4.14
John Standeford-2003,5.14,75.125,197,4.62,1.6,32.5,113,4.08
John Standeford-2002,5.14,75.125,197,4.62,1.6,32.5,113,4.08
John Standeford-2000,5.14,75.125,197,4.62,1.6,32.5,113,4.08
Jason Rivers-2007,3.78,73.25,200,4.62,1.56,30,118,4.32
Jason Rivers-2006,3.78,73.25,200,4.62,1.56,30,118,4.32
Jason Rivers-2004,3.78,73.25,200,4.62,1.56,30,118,4.32
Jason Rivers-2003,3.78,73.25,200,4.62,1.56,30,118,4.32
Jayson Swain-2006,4.12,72.375,212,4.62,1.62,33,,
Mario Urrutia-2006,4.62,77.375,232,4.62,1.6,30,115,4.44
David Anderson-2005,3.18,70.5,192,4.62,1.63,34,116,4.21
David Anderson-2004,3.18,70.5,192,4.62,1.63,34,116,4.21
David Anderson-2003,3.18,70.5,192,4.62,1.63,34,116,4.21
Justin Jenkins-2003,3.87,71.5,210,4.62,1.65,35,123,4.16
Justin Jenkins-2001,3.87,71.5,210,4.62,1.65,35,123,4.16
Jordan Norwood-2008,4.79,70.875,179,4.62,1.61,38,119,4.2
Brandon Lloyd-2002,2.59,72.125,184,4.63,1.62,36,,
Brandon Lloyd-2001,2.59,72.125,184,4.63,1.62,36,,
Marcus Monk-2006,5.03,76.25,222,4.63,1.6,34.5,119,4.3
Hakeem Nicks-2008,3.08,72.75,212,4.63,1.7,36,,
Hakeem Nicks-2007,3.08,72.75,212,4.63,1.7,36,,
Austin Collie-2008,5.68,72.875,200,4.63,1.63,34,120,4.24
Austin Collie-2007,5.68,72.875,200,4.63,1.63,34,120,4.24
Austin Collie-2004,5.68,72.875,200,4.63,1.63,34,120,4.24
Greg Lee-2005,5.46,73.625,201,4.64,1.61,35.5,114,4.11
Greg Lee-2004,5.46,73.625,201,4.64,1.61,35.5,114,4.11
Reggie Harrell-2003,3.72,74.75,214,4.64,1.65,35,115,4.13
Davone Bess-2007,4.06,69.875,194,4.64,1.54,31.5,118,4.27
Davone Bess-2006,4.06,69.875,194,4.64,1.54,31.5,118,4.27
Davone Bess-2005,4.06,69.875,194,4.64,1.54,31.5,118,4.27
Jason Carter-2005,4.74,71.625,211,4.65,1.6,33,116,4.22
Gary Barnidge-2007,9.3,77.625,243,4.65,1.53,31,117,4.23
Cory Rodgers-2005,1.63,71.875,188,4.65,1.63,33.5,110,4.19
Cory Rodgers-2004,1.63,71.875,188,4.65,1.63,33.5,110,4.19
Sam Aiken-2002,5.18,73.875,209,4.65,1.62,39.5,121,
Sam Aiken-2001,5.18,73.875,209,4.65,1.62,39.5,121,
Damarius Bilbo-2005,5.44,73.875,214,4.65,1.67,36.5,115,4.21
Todd Blythe-2007,5.45,76.875,214,4.65,1.61,31.5,118,4.23
Todd Blythe-2005,5.45,76.875,214,4.65,1.61,31.5,118,4.23
J.R. Tolver-2002,4.6,73,202,4.66,1.61,36,119,4.23
Chris Collins-2003,2.35,73.125,201,4.66,1.64,35,112,
Chris Collins-2002,2.35,73.125,201,4.66,1.64,35,112,
Chris Collins-2001,2.35,73.125,201,4.66,1.64,35,112,
Bobby Wade-2002,3.27,70.25,193,4.66,1.59,34.5,115,4.11
Bobby Wade-2001,3.27,70.25,193,4.66,1.59,34.5,115,4.11
Bobby Wade-2000,3.27,70.25,193,4.66,1.59,34.5,115,4.11
Mohamed Massaquoi-2008,5.53,73.5,210,4.66,1.68,36.5,127,
Martellus Bennett-2007,8.44,78.125,259,4.68,1.53,34,118,4.53
Derrick Williams-2007,2.75,71.5,194,4.68,1.64,33,,
Todd Heap-2000,7.95,76.625,252,4.68,1.69,32,,
Steve Savoy-2004,0.89,70.875,182,4.68,1.62,,,
Steve Savoy-2003,0.89,70.875,182,4.68,1.62,,,
Kassim Osgood-2002,2.21,76.875,208,4.68,1.73,31,122,4.44
Mark Bradford-2007,5.87,73,211,4.69,1.57,36.5,120,4.47
Derek McCoy-2003,6.05,75.25,210,4.69,1.66,38,128,4.13
Derek McCoy-2002,6.05,75.25,210,4.69,1.66,38,128,4.13
Kevin Robinson-2007,0.76,71.5,202,4.69,1.61,27.5,115,4.77
Kevin Robinson-2005,0.76,71.5,202,4.69,1.61,27.5,115,4.77
Kevin Robinson-2004,0.76,71.5,202,4.69,1.61,27.5,115,4.77
Jeremy Childs-2008,2.47,71.625,200,4.69,1.65,33.5,115,4.26
Jeremy Childs-2007,2.47,71.625,200,4.69,1.65,33.5,115,4.26
Chad Owens-2004,3.95,67.375,183,4.7,1.66,37,116,3.95
Chad Owens-2003,3.95,67.375,183,4.7,1.66,37,116,3.95
Chad Owens-2002,3.95,67.375,183,4.7,1.66,37,116,3.95
Danny Amendola-2007,1.37,70.5,183,4.7,1.63,27.5,103,4.25
Reno Mahe-2002,1.06,69.25,198,4.71,1.6,32,109,4.23
Reno Mahe-2001,1.06,69.25,198,4.71,1.6,32,109,4.23
Anquan Boldin-2002,2.05,72.625,216,4.71,1.61,33.5,114,4.33
Anquan Boldin-2000,2.05,72.625,216,4.71,1.61,33.5,114,4.33
Chauncey Stovall-2004,4.09,72.75,221,4.71,1.66,,,
Jarrett Hicks-2005,3.55,74.875,210,4.71,1.7,34.5,120,
Jarrett Hicks-2004,3.55,74.875,210,4.71,1.7,34.5,120,
Boo Williams-2000,8.26,76,237,4.72,1.63,35.5,119,4.33
Anthony Fasano-2005,8.46,76.125,259,4.72,1.64,33.5,112,4.34
Jaison Williams-2007,2.83,76.125,237,4.72,1.74,35.5,118,4.56
Jaison Williams-2006,2.83,76.125,237,4.72,1.74,35.5,118,4.56
Jovon Bouknight-2005,3.96,73.375,195,4.72,1.65,34,120,4.05
Jovon Bouknight-2004,3.96,73.375,195,4.72,1.65,34,120,4.05
Jovon Bouknight-2003,3.96,73.375,195,4.72,1.65,34,120,4.05
Jovon Bouknight-2002,3.96,73.375,195,4.72,1.65,34,120,4.05
David Thomas-2005,7.82,75.125,252,4.73,1.64,37.5,113,4.35
Adarius Bowman-2007,4.37,74.875,223,4.74,1.64,,,
Adarius Bowman-2006,4.37,74.875,223,4.74,1.64,,,
Paris Warren-2004,2.34,72.375,213,4.77,1.7,31.5,,
Paris Warren-2003,2.34,72.375,213,4.77,1.7,31.5,,
Kory Sperry-2005,7.63,76.75,238,4.77,1.69,33.5,122,4.25
Nate Poole-2000,2.1,73.5,198,4.79,1.6,32.5,112,4.22
Ernest Wilford-2003,6.52,75.625,226,4.81,1.68,40.5,130,4.17
Ernest Wilford-2002,6.52,75.625,226,4.81,1.68,40.5,130,4.17
Jermichael Finley-2007,5.34,76.5,243,4.82,1.66,27.5,117,4.38
Clark Harris-2004,6.68,77.5,261,4.83,1.7,32,112,
Trent Smith-2001,4.76,77.125,243,4.84,1.76,35.5,118,4.37
Marcedes Lewis-2005,7.55,78.375,261,4.84,1.67,37,118,4.84
James Newson-2003,0.88,72.75,213,4.85,1.71,31.5,116,
James Newson-2002,0.88,72.75,213,4.85,1.71,31.5,116,
James Newson-2001,0.88,72.75,213,4.85,1.71,31.5,116,
Davon Drew-2008,2.97,75.75,256,4.85,1.73,29.5,113,4.56
Zach Miller-2004,6.04,76.375,256,4.86,1.68,34,115,4.42
Charles Frederick-2003,0.32,70.75,194,4.86,1.65,33,108,4.35
Charles Frederick-2002,0.32,70.75,194,4.86,1.65,33,108,4.35
Jonny Harline-2006,1.88,75.75,248,4.86,1.7,28.5,106,4.68
Jonny Harline-2005,1.88,75.75,248,4.86,1.7,28.5,106,4.68
Scott Chandler-2006,4.79,79,270,4.87,1.73,30,111,4.32
Scott Chandler-2005,4.79,79,270,4.87,1.73,30,111,4.32
John Carlson-2006,5.92,77.125,251,4.88,1.67,30.5,113,4.28
Chris Cooley-2003,7.61,75.5,265,4.89,1.65,33,115,4.19
Derek Smith-2000,2.94,76,271,4.9,1.72,28.5,112,4.38
Joe Newton-2004,3.96,79.125,257,4.92,1.69,31,109,4.57
Tim Euhus-2003,7.93,77,260,4.94,1.71,34.5,115,4.13
Brian Natkin-2000,0.5,74.125,251,4.95,1.76,27,98,4.59
Tim Stratton-2000,0.85,76,251,4.99,1.71,27,101,
Bear Pascoe-2007,0.55,77.125,251,5.04,1.8,26.5,107,4.55
